#separator:tab
#html:false
#columns:ID	Thai	English	Usage	Coach	Tags
biohack:th-en:number:00049	สี่สิบเก้า	49	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00050	ห้าสิบ	50	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00051	ห้าสิบเอ็ด	51	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00052	ห้าสิบสอง	52	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00053	ห้าสิบสาม	53	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00054	ห้าสิบสี่	54	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00055	ห้าสิบห้า	55	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00056	ห้าสิบหก	56	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00057	ห้าสิบเจ็ด	57	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00058	ห้าสิบแปด	58	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00059	ห้าสิบเก้า	59	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00060	หกสิบ	60	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00061	หกสิบเอ็ด	61	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00062	หกสิบสอง	62	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00063	หกสิบสาม	63	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00064	หกสิบสี่	64	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00065	หกสิบห้า	65	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00066	หกสิบหก	66	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00067	หกสิบเจ็ด	67	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00068	หกสิบแปด	68	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00069	หกสิบเก้า	69	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00070	เจ็ดสิบ	70	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00071	เจ็ดสิบเอ็ด	71	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00072	เจ็ดสิบสอง	72	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00073	เจ็ดสิบสาม	73	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00074	เจ็ดสิบสี่	74	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00075	เจ็ดสิบห้า	75	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00076	เจ็ดสิบหก	76	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00077	เจ็ดสิบเจ็ด	77	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00078	เจ็ดสิบแปด	78	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00079	เจ็ดสิบเก้า	79	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00080	แปดสิบ	80	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00081	แปดสิบเอ็ด	81	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00082	แปดสิบสอง	82	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00083	แปดสิบสาม	83	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00084	แปดสิบสี่	84	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00085	แปดสิบห้า	85	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00086	แปดสิบหก	86	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00087	แปดสิบเจ็ด	87	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00088	แปดสิบแปด	88	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00089	แปดสิบเก้า	89	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00090	เก้าสิบ	90	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00091	เก้าสิบเอ็ด	91	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00092	เก้าสิบสอง	92	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00093	เก้าสิบสาม	93	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00094	เก้าสิบสี่	94	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00095	เก้าสิบห้า	95	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00096	เก้าสิบหก	96	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00097	เก้าสิบเจ็ด	97	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00098	เก้าสิบแปด	98	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00099	เก้าสิบเก้า	99	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers compounds
biohack:th-en:number:00100	หนึ่งร้อย	100	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers landmarks
biohack:th-en:number:01000	หนึ่งพัน	1,000	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers landmarks
biohack:th-en:number:10000	หนึ่งหมื่น	10,000	number	Listen for vowel length and the tone of each syllable; replay slowly, then imitate the whole number.	numbers landmarks
biohack:th-en:word:water	น้ำ	water	general noun	Round the lips lightly. Sustain the vowel and follow the falling tone.	survival noun
biohack:th-en:word:ice	น้ำแข็ง	ice	literally “hard water”	Keep the two syllables distinct; imitate the tone contour rather than English stress.	survival noun
biohack:th-en:word:cat	แมว	cat	general noun	Open the jaw for the vowel, then glide smoothly into the final w sound.	survival noun
biohack:th-en:word:door	ประตู	door; gate	door or gate depending on context	Release the initial consonant cluster cleanly and keep the final vowel long.	survival noun
biohack:th-en:word:wall-interior	ผนัง	wall (room or building)	an interior wall or wall surface	Use a clear puff of air at the start; finish through the nose.	survival noun wall
biohack:th-en:word:wall-barrier	กำแพง	wall (barrier or exterior)	a freestanding, exterior, or defensive wall	Keep the syllables joined and let the final sound resonate through the nose.	survival noun wall
biohack:th-en:phrase:how-much	เท่าไหร่?	how much?	For price: ราคาเท่าไหร่?	Copy the two-part rhythm and tone movement; do not pronounce it with English question intonation.	survival phrase
